name,height,mass,hair_color,skin_color,eye_color,birth_year,gender,homeworld,date
Lama Su,229,88,none,grey,black,unknown,male,Kamino,2014-12-20
Taun We,213,unknown,none,grey,black,unknown,female,Kamino,2014-12-20
Jocasta Nu,167,unknown,white,fair,blue,unknown,female,Coruscant,2014-12-20
R4-P17,96,unknown,none,"silver, red","red, blue",unknown,female,unknown,2014-12-20
Wat Tambor,193,48,none,"green, grey",unknown,unknown,male,Skako,2014-12-20
San Hill,191,unknown,none,grey,gold,unknown,male,Muunilinst,2014-12-20
Shaak Ti,178,57,none,"red, blue, white",black,unknown,female,Shili,2014-12-20
Grievous,216,159,none,"brown, white","green, yellow",unknown,male,Kalee,2014-12-20
Tarfful,234,136,brown,brown,blue,unknown,male,Kashyyyk,2014-12-20
Raymus Antilles,188,79,brown,light,brown,unknown,male,Alderaan,2014-12-20
Sly Moore,178,48,none,pale,white,unknown,female,Umbara,2014-12-20
Tion Medon,206,80,none,grey,black,unknown,male,Utapau,2014-12-20
